id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
755152172946777298,Classically Cool Short North Condo,474700132,Darius,,Near North/University,39.98132,-83.00312,Entire home/apt,100,1,6,2022-12-15,5.62,5,88,6,2020-1209
755185969234865290,"Clean, Affordable, Central *Columbus*",188952964,Luana,,South Linden,40.01368981363979,-82.98485320157089,Entire home/apt,96,1,10,2022-12-18,7.50,1,77,10,2022-2461
755266061071021857,Amazing 1-bedroom rental unit w/ Location + Patio,486808134,TheChill,,Near North/University,39.98694,-83.01467,Entire home/apt,76,2,5,2022-11-27,3.41,1,84,5,2022-8853
755314149754878281,"Huge Suburban Home close Shopping, OSU and I-270",120455802,Norma,,Northland,40.06518,-82.91031,Entire home/apt,132,3,2,2022-12-04,2,10,180,2,2022-2097
755387849037937198,Brand new home near downtown Columbus,22339955,Mariah,,Near East,39.95442,-82.96256,Entire home/apt,126,1,1,2022-12-18,1,2,65,1,2022-3465
755767456575927285,Mid-Century Inspired 1BD Near High St.,474700132,Darius,,Near North/University,39.98961,-83.00332,Entire home/apt,74,1,5,2022-12-20,5,5,76,5,2020-1209
756397627983638301,Housepitality - The South Haven - 2BR Lux,26958698,Benjamin,,Near South,39.93212,-82.99718,Entire home/apt,110,1,1,2022-11-27,0.94,115,360,1,2022-3352
756497787773280338,The Mama-Suite! 1 Bedroom Home In Columbus!,158439641,GH Hospitality,,Near South,39.94925,-82.95943,Entire home/apt,91,2,2,2022-11-27,1.30,75,361,2,2022-3343
756508964776618708,The Crystal House - 4 Bedroom Home in Columbus!,158439641,GH Hospitality,,Near South,39.94835,-82.96008,Entire home/apt,262,1,1,2022-12-05,1,75,361,1,2022-3343
756697190421428888,Balcony Washer/Dryer Gym Pool Side Coffee shop,487088674,Proscovia,,Rocky Fork-Blacklick,40.10489,-82.82653,Entire home/apt,95,1,1,2022-11-26,0.91,1,359,1,2022-3218
756737851606564101,Victorian Village Family Home,481182572,Tim,,Near North/University,39.979128,-83.014235,Entire home/apt,72,30,0,,,1,269,0,
756799728541611353,Clean 1 Bedroom Cottage w/ 1 car garage,275863235,Bruce,,Near North/University,39.9880614,-83.0163839,Entire home/apt,79,3,2,2022-12-27,2,2,341,2,2022-3345
757220580648912943,"Short North, Ohio State area!  Clean+easy parking",10087902,Seth,,Near North/University,39.99237,-82.99961,Entire home/apt,103,2,0,,,1,75,0,2022-3621
757268673673141585,Walkable to the OSU Shoe! 2 bed - Free parking,110532424,Erin,,Near North/University,40.00714,-82.99969,Entire home/apt,115,1,2,2022-11-26,1.30,2,356,2,2022-2706
